4 - List Of Successful Candidate,,,,,,,,
,,,,,,,,
SL. No.,STATE,CONSTITUENCY,WINNER NAME,CATEGORY,SOCIAL CATEGORY,PARTY,PARTY SYMBOL,MARGIN
219,Madhya Pradesh,GWALIOR,VIVEK NARAYAN SHEJWALKAR,GEN,GENERAL,BJP,Lotus,146842
220,Madhya Pradesh,GUNA,"KRISHNA PAL SINGH ""Dr. K. P. YADAV""",GEN,GENERAL,BJP,Lotus,125549
221,Madhya Pradesh,SAGAR,RAJBAHADUR SINGH,GEN,GENERAL,BJP,Lotus,305542
222,Madhya Pradesh,TIKAMGARH,Dr Virendra Kumar,SC,SC,BJP,Lotus,348059
223,Madhya Pradesh,DAMOH,PRAHALAD SINGH PATEL,GEN,GENERAL,BJP,Lotus,353411
224,Madhya Pradesh,KHAJURAHO,V.D. SHARMA (VISHNU DATT SHARMA),GEN,GENERAL,BJP,Lotus,492382
225,Madhya Pradesh,SATNA,GANESH SINGH,GEN,GENERAL,BJP,Lotus,231473
226,Madhya Pradesh,REWA,JANARDAN MISHRA,GEN,GENERAL,BJP,Lotus,312808
227,Madhya Pradesh,SIDHI,Riti Pathak,GEN,GENERAL,BJP,Lotus,286524
228,Madhya Pradesh,SHAHDOL,HIMADRI SINGH,ST,ST,BJP,Lotus,403333
229,Madhya Pradesh,JABALPUR,RAKESH SINGH,GEN,GENERAL,BJP,Lotus,454744
230,Madhya Pradesh,MANDLA,FAGGAN SINGH KULASTE,ST,ST,BJP,Lotus,97674
231,Madhya Pradesh,BALAGHAT,DR DHAL SINGH BISEN,GEN,GENERAL,BJP,Lotus,242066
232,Madhya Pradesh,CHHINDWARA,NAKUL KAMAL NATH,GEN,GENERAL,INC,Hand,37536
233,Madhya Pradesh,HOSHANGABAD,UDAY PRATAP SINGH,GEN,GENERAL,BJP,Lotus,553682
234,Madhya Pradesh,VIDISHA,Ramakant Bhargava,GEN,GENERAL,BJP,Lotus,503084
235,Madhya Pradesh,BHOPAL,SADHVI PRAGYA SINGH THAKUR,GEN,GENERAL,BJP,Lotus,364822
236,Madhya Pradesh,RAJGARH,RODMAL NAGAR,GEN,GENERAL,BJP,Lotus,431019
237,Maharashtra,Kalyan,Dr. SHRIKANT EKNATH SHINDE,GEN,GENERAL,SHS,Bow and Arrow,344343
238,Maharashtra,Thane,RAJAN BABURAO VICHARE,GEN,GENERAL,SHS,Bow and Arrow,412145
239,Maharashtra,Mumbai North,Gopal Shetty,GEN,GENERAL,BJP,Lotus,465247
240,Maharashtra,Mumbai North West,Gajanan Kirtikar,GEN,GENERAL,SHS,Bow and Arrow,260328
241,Maharashtra,Mumbai North East,Manoj Kotak,GEN,GENERAL,BJP,Lotus,226486
242,Maharashtra,Mumbai North central,POONAM MAHAJAN,GEN,GENERAL,BJP,Lotus,130005
243,Maharashtra,Mumbai South central,Rahul Ramesh Shewale,GEN,SC,SHS,Bow & Arrow,152139
244,Maharashtra,Mumbai   South,Arvind Ganpat Sawant,GEN,GENERAL,SHS,Bow and Arrow,100067
245,Maharashtra,Raigad,Tatkare Sunil Dattatray,GEN,GENERAL,NCP,Clock,31438
246,Maharashtra,Maval,SHRIRANG APPA CHANDU BARNE,GEN,GENERAL,SHS,Bow and Arrow,215913
247,Maharashtra,Nandurbar ,Dr. Heena Vijaykumar Gavit,ST,ST,BJP,Lotus,95629
248,Maharashtra,Pune,Girish Bhalchandra Bapat,GEN,GENERAL,BJP,Lotus,324628
249,Maharashtra,Dhule,Bhamre Subhash Ramrao,GEN,GENERAL,BJP,Lotus,229243
250,Maharashtra,Baramati,Supriya Sule,GEN,GENERAL,NCP,Clock,155774
251,Maharashtra,Jalgaon,Unmesh Bhaiyyasaheb Patil,GEN,GENERAL,BJP,Lotus,411617
252,Maharashtra,Shirur,Dr. Amol Ramsing Kolhe,GEN,GENERAL,NCP,Clock,58483
253,Maharashtra,Raver,Khadse Raksha Nikhil,GEN,GENERAL,BJP,Lotus,335882
254,Maharashtra,Ahmadnagar ,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,GEN,GENERAL,BJP,Lotus,281474
255,Maharashtra,Buldhana,Jadhav Prataprao Ganpatrao,GEN,GENERAL,SHS,Bow and Arrow,133287
256,Maharashtra,Shirdi,SADASHIV KISAN LOKHANDE,SC,SC,SHS,Bow and Arrow,120195
257,Maharashtra,Akola,Dhotre Sanjay Shamrao,GEN,GENERAL,BJP,Lotus,275596
