District,YEAR,Cropped.land.area
Ballia,2012,348335
Ballia,2013,341381
Ballia,2014,340658
Ballia,2015,354568
Ballia,2016,354600
Ballia,2017,353842
Balrampur,2011,315245
Balrampur,2012,304497
Balrampur,2013,305240
Balrampur,2014,303175
Shamli,2016,169759
Balrampur,2015,360858
Balrampur,2016,360805
Balrampur,2017,361230
Banda,2011,428465
Banda,2012,429931
Banda,2013,439770
Banda,2014,460534
Banda,2015,436058
Banda,2016,477145
Banda,2017,474755
Barabanki,2011,578322
Barabanki,2012,517809
Barabanki,2013,535356
Barabanki,2014,525748
Barabanki,2015,539387
Barabanki,2016,539387
Barabanki,2017,539871
Bareilly,2011,535772
Bareilly,2012,535834
Bareilly,2013,533520
Bareilly,2014,544061
Bareilly,2015,535802
Bareilly,2016,539576
Bareilly,2017,540174
Basti,2011,287075
Basti,2012,288875
Basti,2013,287095
Basti,2014,279365
Basti,2015,309669
Basti,2016,339255
Basti,2017,339321
Bijnor,2011,414545
Bijnor,2012,458310
Bijnor,2013,427639
Bijnor,2014,400032
Bijnor,2015,410786
Bijnor,2016,417678
Bijnor,2017,416610
Budaun,2011,639639
Budaun,2012,615995
Budaun,2013,620771
Budaun,2014,618755
Budaun,2015,630575
Budaun,2016,631571
Budaun,2017,642528
Bulandshahr,2011,520680
Bulandshahr,2012,520839
Bulandshahr,2013,525507
Bulandshahr,2014,532137
Bulandshahr,2015,505766
Bulandshahr,2016,534687
Bulandshahr,2017,537099
Chandauli,2011,235261
Chandauli,2012,244647
Chandauli,2013,239811
Chandauli,2014,243501
Chandauli,2015,234283
Chandauli,2016,233536
Chandauli,2017,233485
Chitrakoot,2011,189633
Chitrakoot,2012,181957
Chitrakoot,2013,182433
Chitrakoot,2014,195145
Chitrakoot,2015,186562
Chitrakoot,2016,182877
Chitrakoot,2017,182329
Deoria,2011,321558
Deoria,2012,319535
Deoria,2013,325268
Deoria,2014,322060
Deoria,2015,329254
Deoria,2016,329262
Deoria,2017,329266
Etah,2011,302749
Etah,2012,304048
Etah,2013,300300
Etah,2014,309372
Etah,2015,333123
Etah,2016,332524
Etah,2017,331850
Etawah,2011,242336
Etawah,2012,247035
Etawah,2013,249196
Etawah,2014,254407
Etawah,2015,255564
Etawah,2016,295637
Etawah,2017,256462
Ayodhya,2011,277765
Ayodhya,2012,275663
Ayodhya,2013,275043
Ayodhya,2014,272504
Ayodhya,2015,291056
Ayodhya,2016,291156
Ayodhya,2017,291328
Farrukhabad,2011,210892
Farrukhabad,2012,211864
Farrukhabad,2013,211861
Farrukhabad,2014,219690
Farrukhabad,2015,228704
Farrukhabad,2016,228636
Farrukhabad,2017,228352
Fatehpur,2011,411892
Fatehpur,2012,417479
Fatehpur,2013,421249
Fatehpur,2014,430111
Fatehpur,2015,427496
Fatehpur,2016,427708
Fatehpur,2017,427239
Firozabad,2011,304303
Firozabad,2012,306604
Firozabad,2013,308110
Firozabad,2014,310748
Firozabad,2015,318625
Firozabad,2016,314734
Firozabad,2017,306280
Gautam Buddha Nagar,2011,100436
Gautam Buddha Nagar,2012,93545
Gautam Buddha Nagar,2013,87952
Gautam Buddha Nagar,2014,96089
Gautam Buddha Nagar,2015,103408
Gautam Buddha Nagar,2016,102196
Gautam Buddha Nagar,2017,101871
Ghaziabad,2011,83906
Ghaziabad,2012,81407
Ghaziabad,2013,79685
Ghaziabad,2014,78748
Ghaziabad,2015,77608
